id,name
HP:0000245,Abnormal paranasal sinus morphology
HP:0000246,Sinusitis
HP:0012373,Abnormal eye physiology
HP:0000492,Abnormal eyelid morphology
HP:0030669,Abnormal ocular adnexa morphology
HP:0006530,Abnormal pulmonary interstitial morphology
HP:0034434,Abnormal communication
HP:0011446,Abnormality of mental function
HP:0002167,Abnormality of speech or vocalization
HP:0002463,Language impairment
HP:0030724,Central nervous system cyst
HP:0033563,Anti-tissue transglutaminase antibody positivity
HP:0001877,Abnormal erythrocyte morphology
HP:0011138,Abnormal skin adnexa morphology
HP:0011362,Abnormal hair quantity
HP:0001595,Abnormal hair morphology
HP:0011122,Abnormality of skin physiology
HP:0011123,Inflammatory abnormality of the skin
HP:0000708,Atypical behavior
HP:0002090,Pneumonia
HP:0002719,Recurrent infections
HP:0002205,Recurrent respiratory infections
HP:0002783,Recurrent lower respiratory tract infections
HP:0008065,Aplasia/Hypoplasia of the skin
HP:0011355,Localized skin lesion
HP:0032166,Unusual gastrointestinal infection
HP:0025032,Abnormality of digestive system physiology
HP:0012719,Functional abnormality of the gastrointestinal tract
HP:0011024,Abnormality of the gastrointestinal tract
HP:0000953,Hyperpigmentation of the skin
HP:0003011,Abnormality of the musculature
HP:0031910,Abnormal cranial nerve physiology
HP:0006824,Cranial nerve paralysis
HP:0010827,Abnormal seventh cranial physiology
HP:0001324,Muscle weakness
HP:0000301,Abnormality of facial musculature
HP:0030319,Weakness of facial musculature
HP:0011799,Abnormality of facial soft tissue
HP:0011804,Abnormal muscle physiology
HP:0011805,Abnormal skeletal muscle morphology
HP:0004323,Abnormality of body weight
HP:0001507,Growth abnormality
HP:0004325,Decreased body weight
HP:0001508,Failure to thrive
HP:0008609,Abnormal middle ear morphology
HP:0000370,Abnormality of the middle ear
HP:0000598,Abnormality of the ear
HP:0031703,Abnormal ear morphology
HP:0000539,Abnormality of refraction
HP:0012393,Allergy
HP:0000692,Tooth malposition
HP:0000940,Abnormal diaphysis morphology
HP:0011314,Abnormal long bone morphology
HP:0001510,Growth delay
HP:0033184,Triggered by infection
HP:0033198,Triggered by viral infection
HP:0025204,Triggered by
HP:0012823,Clinical modifier
HP:0001974,Leukocytosis
HP:0410380,"Abnormal proportion of CD8-positive, alpha-beta memory T cells"
HP:0410384,"Abnormal proportion of central memory CD8-positive, alpha-beta T cells"
HP:0410392,"Increased proportion of CD8-positive, alpha-beta memory T cells"
HP:0031393,Abnormal proportion of CD8-positive T cells
HP:0032182,Abnormal proportion of memory T cells
HP:0032184,Increased proportion of memory T cells
HP:0045060,Aplasia/hypoplasia involving bones of the extremities
HP:0011927,Short digit
HP:0009115,Aplasia/hypoplasia involving the skeleton
HP:0005922,Abnormal hand morphology
HP:0009381,Short finger
HP:0005927,Aplasia/hypoplasia involving bones of the hand
HP:0009815,Aplasia/hypoplasia of the extremities
HP:0006496,Aplasia/hypoplasia involving bones of the upper limbs
HP:0004207,Abnormal 5th finger morphology
HP:0006262,Aplasia/Hypoplasia of the 5th finger
HP:0006265,Aplasia/Hypoplasia of fingers
HP:0002977,Aplasia/Hypoplasia involving the central nervous system
HP:0100547,Abnormal forebrain morphology
HP:0007367,Atrophy/Degeneration affecting the central nervous system
HP:0007369,Atrophy/Degeneration affecting the cerebrum
HP:0002538,Abnormal cerebral cortex morphology
HP:0002059,Cerebral atrophy
HP:0002060,Abnormal cerebral morphology
HP:0012443,Abnormal brain morphology
HP:0012444,Brain atrophy
HP:0032140,Decreased specific antibody response to vaccination
HP:0012475,Decreased circulating level of specific antibody
HP:0031404,Impaired antigen-specific response
HP:0004313,Decreased circulating antibody level
HP:0410302,Decreased specific antibody response to protein-conjugated polysaccharide vaccine
HP:0034058,Abnormal fetal morphology
HP:0034057,Fetal anomaly
HP:0001197,Abnormality of prenatal development or birth
HP:0100729,Large face
HP:0040012,Chromosome breakage
HP:0003220,Abnormality of chromosome stability
HP:0001892,Abnormal bleeding
HP:0031377,Abnormal cell proliferation
HP:0031378,Abnormal lymphocyte proliferation
HP:0031381,Decreased lymphocyte proliferation in response to mitogen
HP:0010280,Stomatitis
HP:0031446,Erosion of oral mucosa
HP:0011830,Abnormal oral mucosa morphology
HP:0002665,Lymphoma
HP:0004377,Hematological neoplasm
HP:0012539,Non-Hodgkin lymphoma
HP:0025408,Abnormal spleen morphology
HP:0001743,Abnormality of the spleen
HP:0032163,Molluscum contagiosum
HP:0032162,Unusual skin infection
HP:0032158,Unusual infection by anatomical site
HP:0009887,Abnormality of hair pigmentation
HP:0011358,Generalized hypopigmentation of hair
HP:0005599,Hypopigmentation of hair
HP:0001288,Gait disturbance
HP:0410242,Abnormal circulating IgG level
HP:0040006,Mortality/Aging
HP:0031797,Clinical course
HP:0011420,Age of death
HP:0000174,Abnormal palate morphology
HP:0008067,Abnormally lax or hyperextensible skin
HP:0010647,Abnormal elasticity of skin
HP:0000964,Eczematoid dermatitis
HP:0002242,Abnormal intestine morphology
HP:0025033,Abnormal digestive system morphology
HP:0002250,Abnormal large intestine morphology
HP:0100589,Urogenital fistula
HP:0012718,Abnormal gastrointestinal tract morphology
HP:0002034,Abnormal rectum morphology
HP:0100819,Intestinal fistula
HP:0000119,Abnormality of the genitourinary system
HP:0012732,Anorectal anomaly
HP:0011840,Abnormality of T cell physiology
HP:0002793,Abnormal pattern of respiration
HP:0002094,Dyspnea
HP:0001263,Global developmental delay
HP:0006532,Recurrent pneumonia
HP:0004429,Recurrent viral infections
HP:0100886,Abnormality of globe location
HP:0025270,Abnormal esophagus physiology
HP:0003272,Abnormal hip bone morphology
HP:0002644,Abnormal pelvic girdle bone morphology
HP:0004370,Abnormality of temperature regulation
HP:0031396,Abnormal proportion of naive T cells
HP:0010976,B lymphocytopenia
HP:0001888,Lymphopenia
HP:0002846,Abnormal B cell morphology
HP:0010975,Abnormal B cell count
HP:0005403,T lymphocytopenia
HP:0001873,Thrombocytopenia
HP:0020100,Unusual fungal infection
HP:0031690,Opportunistic infection
HP:0032255,Opportunistic fungal infection
HP:0006482,Abnormal dental morphology
HP:0001410,Decreased liver function
HP:0025155,Abnormality of hepatobiliary system physiology
HP:0000436,Abnormal nasal tip morphology
HP:0006481,Abnormality of primary teeth
HP:0006292,Abnormality of dental eruption
HP:0000944,Abnormal metaphysis morphology
HP:0000324,Facial asymmetry
HP:0011897,Neutrophilia
HP:0007499,Recurrent staphylococcal infections
HP:0002718,Recurrent bacterial infections
HP:0003330,Abnormal bone structure
HP:0011849,Abnormal bone ossification
HP:0004348,Abnormality of bone mineral density
HP:0011001,Increased bone mineral density
HP:0002733,Abnormal lymph node morphology
HP:0011014,Abnormal glucose homeostasis
HP:0011015,Abnormal blood glucose concentration
HP:0001943,Hypoglycemia
HP:0410042,Abnormal liver morphology
HP:0011442,Abnormal central motor function
HP:0010549,Weakness due to upper motor neuron dysfunction
HP:0004374,Hemiplegia/hemiparesis
HP:0002493,Upper motor neuron dysfunction
HP:0005420,Recurrent gram-negative bacterial infections
HP:0008373,Puberty and gonadal disorders
HP:0040195,Decreased head circumference
HP:0007364,Aplasia/Hypoplasia of the cerebrum
HP:0005484,Secondary microcephaly
HP:0000240,Abnormality of skull size
HP:0000252,Microcephaly
HP:0000364,Hearing abnormality
HP:0000365,Hearing impairment
HP:0000405,Conductive hearing impairment
HP:0000407,Sensorineural hearing impairment
HP:0031704,Abnormal ear physiology
HP:0011452,Functional abnormality of the middle ear
HP:0011389,Functional abnormality of the inner ear
HP:0000684,Delayed eruption of teeth
HP:0011843,Abnormal musculoskeletal physiology
HP:0002757,Recurrent fractures
HP:0002659,Increased susceptibility to fractures
HP:0020110,Bone fracture
HP:0012384,Rhinitis
HP:0040133,Abnormal circulating ferritin concentration
HP:0033331,Acute phase response
HP:0010876,Abnormal circulating protein concentration
HP:0011136,Aplasia of the sweat glands
HP:0007592,Aplasia/Hypoplastia of the eccrine sweat glands
HP:0000971,Abnormal sweat gland morphology
HP:0011135,Aplasia/Hypoplasia of the sweat glands
HP:0002118,Abnormal cerebral ventricle morphology
HP:0030047,Abnormal lateral ventricle morphology
HP:0002119,Ventriculomegaly
HP:0001597,Abnormality of the nail
HP:0000002,Abnormality of body height
HP:0004322,Short stature
HP:0005415,Decreased proportion of CD8-positive T cells
HP:0200007,Abnormal size of the palpebral fissures
HP:0008050,Abnormality of the palpebral fissures
HP:0012190,T-cell lymphoma
HP:0011450,Unusual CNS infection
HP:0000159,Abnormal lip morphology
HP:0004305,Involuntary movements
HP:0005120,Abnormal cardiac atrium morphology
HP:0001671,Abnormal cardiac septum morphology
HP:0011994,Abnormal atrial septum morphology
HP:0001627,Abnormal heart morphology
HP:0000504,Abnormality of vision
HP:0410240,Abnormal circulating IgA level
HP:0000765,Abnormal thorax morphology
HP:0000766,Abnormal sternum morphology
HP:0032260,Opportunistic bacterial infection
HP:0001928,Abnormality of coagulation
HP:0010990,Abnormality of the common coagulation pathway
HP:0003256,Abnormality of the coagulation cascade
HP:0011898,Abnormality of circulating fibrinogen
HP:0001250,Seizure
HP:0002121,Generalized non-motor (absence) seizure
HP:0011146,Dialeptic seizure
HP:0033259,Non-motor seizure
HP:0002197,Generalized-onset seizure
HP:0007400,Irregular hyperpigmentation
HP:0001034,Hypermelanotic macule
HP:0012733,Macule
HP:0004386,Gastrointestinal inflammation
HP:0002037,Inflammation of the large intestine
HP:0002583,Colitis
HP:0002240,Hepatomegaly
HP:0003271,Visceromegaly
HP:0001744,Splenomegaly
HP:0001438,Abnormal abdomen morphology
HP:0031394,Abnormal CD4:CD8 ratio
HP:0000676,Abnormality of the incisor
HP:0011063,Abnormal incisor morphology
HP:0011065,Conical incisor
HP:0000698,Conical tooth
HP:0011113,Abnormality of cytokine secretion
HP:0006288,Advanced eruption of teeth
HP:0033582,Pulmonary interstitial lymphocyte infiltration
HP:0006515,Interstitial pneumonitis
HP:0025539,Abnormal B cell subset distribution
HP:0030373,Abnormal proportion of memory B cells
HP:0030374,Decreased proportion of memory B cells
HP:0030386,Abnormal proportion of class-switched memory B cells
HP:0012735,Cough
HP:0032436,Abnormal circulating C-reactive protein concentration
HP:0012177,Abnormal natural killer cell physiology
HP:0020096,Recurrent streptococcal infections
HP:0011274,Recurrent mycobacterial infections
HP:0030402,Abnormal platelet aggregation
HP:0003540,Impaired platelet aggregation
HP:0011869,Abnormal platelet function
HP:0025276,Abnormality of skin adnexa physiology
HP:0007550,Hypohidrosis or hyperhidrosis
HP:0011458,Abdominal symptom
HP:0011028,Abnormality of blood circulation
HP:0011029,Internal hemorrhage
HP:0025085,Bloody diarrhea
HP:0002014,Diarrhea
HP:0002239,Gastrointestinal hemorrhage
HP:0025668,Abnormal neck morphology
HP:0000464,Abnormality of the neck
HP:0003319,Abnormality of the cervical spine
HP:0005607,Abnormal tracheobronchial morphology
HP:0025426,Abnormal bronchus morphology
HP:0000927,Abnormality of skeletal maturation
HP:0000288,Abnormality of the philtrum
HP:0000177,Abnormal upper lip morphology
HP:0002244,Abnormal small intestine morphology
HP:0025129,Abnormal small intestinal mucosa morphology
HP:0011472,Abnormal small intestinal villus morphology
